"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"VOLKSWAGEN", "PASSAT", "LJE975Y", "WVWZZZ3BZYE275696", "KOVINSKI - SIVA", "23.03.2006"
"AUDI", "A 4", "LJ674ED", "WAUZZZ8E82A144570", "KOVINSKI - BELA", "22.03.2006"
"TOMOS", "COLIBRI 14 TLS", "LJK6684", "891900", "NAVADEN - MODRA", "22.03.2006"
"KTM", "", "00", "KTM910392752", "NAVADEN - ČRNA", "22.03.2006"
"RENAULT", "CLIO", "MBV173K", "VF1CB07CF26161805", "KOVINSKI - SIVA", "21.03.2006"
"KTM", "640 LC 4", "MBG473", "VBKGSN4004M782426", "", "20.03.2006"
"", "C", "CEZ7767", "WDB2032041F269508", "", "20.03.2006"
"RENAULT", "CLIO", "GOJ6345", "VF1B57BK513501981", "", "20.03.2006"
"VOLKSWAGEN", "GOLF", "LJR0223", "WVWZZZ1JZYD134711", "", "20.03.2006"
"FORD", "TRANSIT", "KPH9618", "WF0AXXTTFA4L27117", "NAVADEN - BELA", "19.03.2006"
"VOLKSWAGEN", "GOLF", "KR7503E", "WVWZZZ1GZMW782300", "NAVADEN - RDEČA", "17.03.2006"
"LAND ROVER", "DISCOVERY", "LJ408R", "SALLAAA146A362268", "", "17.03.2006"
"RENAULT", "CLIO", "KRK9109", "VF1CBR8EF32124176", "KOVINSKI - ČRNA", "15.03.2006"
"RENAULT", "MEGANE", "LJR032K", "VF1DA0F0G18648277", "NAVADEN - RDEČA", "15.03.2006"
"VOLKSWAGEN", "GOLF", "LJY869P", "WVWZZZ1KZ5P101558", "KOVINSKI - RJAVA", "15.03.2006"
"VOLKSWAGEN", "GOLF", "LJM302A", "WVWZZZ1JZXW042982", "", "15.03.2006"
"", "S", "LJ151MM", "WDB2201751A358726", "KOVINSKI - RJAVA", "15.03.2006"
"AUDI", "A 4", "LJY535P", "WAUZZZ8E25A029399", "KOVINSKI - SIVA", "14.03.2006"
"FIAT", "UNO", "LJX967A", "ZFA14600007770899", "NAVADEN - MODRA", "14.03.2006"
"FIAT", "DUCATO", "LJY377E", "ZFA24400007579754", "NAVADEN - BELA", "14.03.2006"
"VOLKSWAGEN", "GOLF", "LJN148E", "WVWZZZ1JZYW322751", "KOVINSKI - SIVA", "14.03.2006"
"VOLKSWAGEN", "GOLF", "LJC074R", "WVWZZZ1JZ1D019041", "KOVINSKI - SIVA", "14.03.2006"
"VOLKSWAGEN", "PASSAT", "CEV7268", "WWWZZZ3BZ1E164889", "", "13.03.2006"
"BMW", "528", "LJN0796", "WBADD51060BP23855", "KOVINSKI - ČRNA", "10.03.2006"
"KTM", "495", "", "VBKRCA4024M381037", "KOVINSKI - ORANŽNA", "09.03.2006"
"RENAULT", "MEGANE", "LJZ253X", "VF1CM0C0H29005427", "NAVADEN - RDEČA", "09.03.2006"
"RENAULT", "R5", "", "VF1C4010508733162", "NAVADEN - BELA", "09.03.2006"
"FIAT", "TIPO", "LJX516E", "ZFA16000002671791", "KOVINSKI - SIVA", "08.03.2006"
"CITROEN", "XSARA", "MBT1382", "VF7N1KFXF36658579", "NAVADEN - BELA", "08.03.2006"
"VOLKSWAGEN", "GOLF", "LJZ876E", "WVWZZZ1JZXW324446", "KOVINSKI - SIVA", "07.03.2006"
"VOLKSWAGEN", "GOLF", "KRR7270", "WVWZZZ1KZ5P073862", "KOVINSKI - SIVA", "07.03.2006"
"VOLKSWAGEN", "GOLF", "LJ591PL", "WVWZZZ1JZYW423777", "KOVINSKI - MODRA", "07.03.2006"
"", "E 270 CDI", "MBH043K", "WDB2112161A537551", "KOVINSKI - SIVA", "06.03.2006"
"VOLKSWAGEN", "PASSAT", "LJ474NS", "WVWZZZ3BZ2P224907", "NAVADEN - BELA", "06.03.2006"
"TOMOS", "APN 6 S", "", "356091", "NAVADEN - MODRA", "04.03.2006"
"TOMOS", "APN 6", "", "446019", "NAVADEN - RDEČA", "03.03.2006"
"VOLKSWAGEN", "GOLF", "MB2235K", "WVWZZZ1GZLW085728", "NAVADEN - RDEČA", "03.03.2006"
"RENAULT", "MEGANE", "LJP076V", "VF1KMRG0631395480", "NAVADEN - ČRNA", "02.03.2006"
"VOLKSWAGEN", "PASSAT", "", "VWWZZZ31ZNB157099", "NAVADEN - BELA", "02.03.2006"
"BMW", "M3", "", "WBSBL91050JP86237", "KOVINSKI - RUMENA", "01.03.2006"
"RENAULT", "CLIO", "LJN011J", "VF1BB0PEG31658424", "NAVADEN - ČRNA", "01.03.2006"
"VOLKSWAGEN", "PASSAT", "NMF1010", "WVWZZZ3BZ3E177459", "KOVINSKI - SIVA", "28.02.2006"
"PEUGEOT", "", "LJA4133", "VGAL1AABA00003407", "SREBRNA", "27.02.2006"
"OPEL", "ASTRA", "GOD1097", "W0L0TGF6915153235", "KOVINSKI - SIVA", "27.02.2006"
"TPV", "VSI TIPI", "", "ZY2000PA40T300063", "KOVINSKI - SIVA", "27.02.2006"
